title,cut,60i,30i,60v,30v
19243,19243,http://www.kossome.com/purplefolder/sites/default/files/cut/19243i.mp3,http://www.kossome.com/purplefolder/sites/default/files/cut/19243i-30.mp3,http://www.kossome.com/purplefolder/sites/default/files/cut/19243v.mp3,http://www.kossome.com/purplefolder/sites/default/files/cut/19243v-30.mp3
1912,1912,http://www.kossome.com/purplefolder/sites/default/files/cut/01912v.mp3,http://www.kossome.com/purplefolder/sites/default/files/cut/01912v-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01912v.mp3,http://www.kossome.com/purplefolder/sites/default/files/cut/01912v-30.MP3
1913,1913,http://www.kossome.com/purplefolder/sites/default/files/cut/01913v.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01913v-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01913v.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01913v-30.MP3
01949A,01949A,http://www.kossome.com/purplefolder/sites/default/files/cut/01949Ai.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01949Ai-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01949Av.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01949Av-30.MP3
01949B,01949B,http://www.kossome.com/purplefolder/sites/default/files/cut/01949Bi.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01949Bi-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01949Bv.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01949Bv-30.MP3
1965,1965,http://www.kossome.com/purplefolder/sites/default/files/cut/01965i.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01965i-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01965v.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01965v-30.MP3
1966,1966,http://www.kossome.com/purplefolder/sites/default/files/cut/01966i.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01966i-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01966v.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/01966v-30.MP3
2083,2083,http://www.kossome.com/purplefolder/sites/default/files/cut/02083i.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02083i-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02083v.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02083v-30.MP3
02088A,02088A,http://www.kossome.com/purplefolder/sites/default/files/cut/02088Ai.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02088Ai-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02088Av.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02088Av-30.MP3
02088B,02088B,http://www.kossome.com/purplefolder/sites/default/files/cut/02088Bi.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02088Bi-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02088Bv.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02088Bv-30.MP3
2097,2097,http://www.kossome.com/purplefolder/sites/default/files/cut/02097i.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02097i-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02097v.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02097v-30.MP3
2103,2103,http://www.kossome.com/purplefolder/sites/default/files/cut/02103i.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02103i-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02103v.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02103v-30.MP3
02110B,02110B,http://www.kossome.com/purplefolder/sites/default/files/cut/02110Bi.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02110Bi-30.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02110Bv.MP3,http://www.kossome.com/purplefolder/sites/default/files/cut/02110Bv-30.MP3